City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
258,Da Nang,VN,2022-03-22 04:46:56,16.0678,108.2208,87.78,66,20,6.91
259,Georgetown,MY,2022-03-22 04:45:26,5.4112,100.3354,91.33,66,20,6.91
260,Mafinga,TZ,2022-03-22 04:46:57,-7.25,35.0667,66.22,91,71,1.21
261,Mogadishu,SO,2022-03-22 04:46:57,2.0371,45.3438,80.47,83,20,9.22
262,Lugoba,TZ,2022-03-22 04:46:58,-6.45,38.3333,75.25,89,36,1.95
263,Maniitsoq,GL,2022-03-22 04:46:59,65.4167,-52.9,0.88,79,100,4.07
264,Golubitskaya,RU,2022-03-22 04:46:59,45.3222,37.2822,34.21,84,56,18.75
265,Tiarei,PF,2022-03-22 04:47:00,-17.5333,-149.3333,82.0,74,85,14.76
266,Jiangyou,CN,2022-03-22 04:47:00,31.7667,104.7167,53.73,78,100,3.38
267,Westport,US,2022-03-22 04:42:37,41.1415,-73.3579,53.58,44,0,7.0
268,Kuytun,RU,2022-03-22 04:47:01,54.3419,101.5036,27.97,82,100,4.18
269,Pakala,IN,2022-03-22 04:47:01,13.4667,79.1167,86.41,38,47,2.51
270,Ostersund,SE,2022-03-22 04:42:25,63.1792,14.6357,25.25,80,55,5.75
271,Mahibadhoo,MV,2022-03-22 04:48:02,3.7833,72.9667,82.65,69,0,13.62
272,Banda Aceh,ID,2022-03-22 04:48:02,5.5577,95.3222,86.23,63,98,10.63
273,Karratha,AU,2022-03-22 04:48:03,-20.7377,116.8463,100.04,32,97,8.3
274,Abu Samrah,SY,2022-03-22 04:48:03,35.3029,37.1841,40.1,64,86,3.22
275,Bambous Virieux,MU,2022-03-22 04:48:03,-20.3428,57.7575,77.25,94,40,8.05
276,Byron Bay,AU,2022-03-22 04:48:04,-28.65,153.6167,80.71,57,0,9.69
277,Cookeville,US,2022-03-22 04:45:01,36.1628,-85.5016,62.31,29,0,9.22
278,Arraial Do Cabo,BR,2022-03-22 04:48:04,-22.9661,-42.0278,73.89,67,33,8.43
279,Virginia Beach,US,2022-03-22 04:46:48,36.8529,-75.978,59.02,68,0,9.22
280,Potoru,SL,2022-03-22 04:48:05,7.5072,-11.4786,73.42,91,100,2.77
281,Kurilsk,RU,2022-03-22 04:48:06,45.2333,147.8833,32.79,66,52,16.24
282,Mount Isa,AU,2022-03-22 04:48:06,-20.7333,139.5,98.37,15,75,5.75
283,Richards Bay,ZA,2022-03-22 04:48:06,-28.783,32.0377,67.87,75,33,5.26
284,Sarh,TD,2022-03-22 04:48:07,9.1429,18.3923,67.91,60,0,0.0
285,Sitka,US,2022-03-22 04:48:07,57.0531,-135.33,48.09,57,100,20.71
286,Ust-Kut,RU,2022-03-22 04:48:08,56.7938,105.7672,27.48,76,100,8.39
287,Tangjiazhuang,CN,2022-03-22 04:48:08,39.7333,118.45,47.21,25,96,8.05
288,Haveri,IN,2022-03-22 04:48:09,14.8,75.4,86.47,41,45,10.4
289,Saint-Pierre,RE,2022-03-22 04:48:09,-21.3393,55.4781,83.91,87,75,14.97
290,Mirador,BR,2022-03-22 04:48:09,-6.3708,-44.3631,73.9,88,70,1.74
291,Linxia,CN,2022-03-22 04:48:10,35.6003,103.2064,53.37,43,57,6.46
292,Souillac,MU,2022-03-22 04:48:10,-20.5167,57.5167,77.38,94,40,8.05
293,Kahului,US,2022-03-22 04:48:11,20.8947,-156.47,80.62,76,40,14.97
