City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Chokurdakh,RU,70.6333,147.9167,2.7,91,100,10.13,overcast clouds
204,Goderich,CA,43.7501,-81.7165,27.91,92,100,23.2,light snow
205,Codrington,AU,-38.2667,141.9667,82.31,29,7,7.27,clear sky
206,Tucuman,AR,-26.8241,-65.2226,60.8,77,0,10.36,clear sky
207,San Carlos De Bariloche,AR,-41.1456,-71.3082,47.5,81,38,15.35,scattered clouds
208,Ancud,CL,-41.8697,-73.8203,50.23,86,19,4.76,light rain
209,Marawi,PH,7.9986,124.2928,71.91,87,100,4.25,moderate rain
210,Nemuro,JP,43.3236,145.575,39.34,90,100,9.46,overcast clouds
211,Iqaluit,CA,63.7506,-68.5145,19.13,79,75,9.22,broken clouds
212,San Patricio,US,28.017,-97.5169,68.09,66,20,11.97,few clouds
213,Sorland,NO,67.667,12.6934,32.54,86,100,23.69,light snow
214,Kununurra,AU,-15.7667,128.7333,94.98,49,74,3.44,broken clouds
215,Villaviciosa,ES,43.4813,-5.4357,56.41,98,76,4.36,broken clouds
216,Naze,JP,28.3667,129.4833,62.47,74,100,5.7,overcast clouds
217,Mbour,SN,14.422,-16.9638,63.45,73,50,9.82,scattered clouds
218,Hamilton,US,39.1834,-84.5333,32.07,67,100,18.41,overcast clouds
219,Kholodnyy,RU,62.7167,147.95,9.79,68,99,2.3,overcast clouds
220,Coquimbo,CL,-29.9533,-71.3436,61.92,84,7,4.07,clear sky
221,Ponta Do Sol,PT,32.6667,-17.1,63.01,84,100,21.41,overcast clouds
222,Kota Bahru,MY,6.1333,102.2386,86.83,66,44,1.97,scattered clouds
223,Jatibonico,CU,21.9419,-79.17,68.54,76,43,8.05,scattered clouds
224,Kijang,KR,35.2442,129.2139,62.26,34,34,12.24,scattered clouds
225,Praia,CV,14.9215,-23.5087,70.34,68,20,9.22,few clouds
226,Grand Gaube,MU,-20.0064,57.6608,82.38,79,6,3.0,clear sky
227,Olafsvik,IS,64.8945,-23.7142,34.66,74,100,9.44,overcast clouds
228,Kuytun,RU,54.3419,101.5036,21.07,74,41,12.77,scattered clouds
229,Awbari,LY,26.5921,12.7805,58.12,14,55,14.7,broken clouds
230,Avera,US,33.194,-82.5271,55.45,43,5,11.5,clear sky
231,Port-Cartier,CA,50.0334,-66.8654,30.42,97,96,1.61,overcast clouds
232,Camacha,PT,33.0833,-16.3333,58.42,88,40,20.71,scattered clouds
233,Itaqui,BR,-29.1253,-56.5531,62.19,80,0,1.54,clear sky
234,Eenhana,NA,-17.4667,16.3333,62.91,51,7,5.17,clear sky
235,Boyuibe,BO,-20.4167,-63.2833,58.98,62,61,3.42,broken clouds
236,Kupang,ID,-10.1667,123.5833,84.49,72,31,5.26,scattered clouds
237,Ayan,RU,56.45,138.1667,21.27,84,53,11.72,broken clouds
238,Vallenar,CL,-28.5708,-70.7581,65.88,57,14,1.68,few clouds
